rank,kudos,views,comments,status,subject,url,post_time
1,6,269,4,new,Thunderbird: Additional: Apply column and view settings for ALL folders + ALL accounts,https://connect.mozilla.org/t5/ideas/thunderbird-additional-apply-column-and-view-settings-for-all/idi-p/128731,2026-06-12T07:34:02.113-07:00
2,3,272,4,new,embedding pictures in Thunderbird,https://connect.mozilla.org/t5/ideas/embedding-pictures-in-thunderbird/idi-p/128435,2026-06-11T01:07:38.493-07:00
3,3,259,3,new,Security alerts in Thunderbird re server certificates,https://connect.mozilla.org/t5/ideas/security-alerts-in-thunderbird-re-server-certificates/idi-p/127527,2026-06-03T23:57:04.641-07:00
4,2,172,3,new,Support Windows 11 Share contract so Thunderbird appears in the context menu Share panel,https://connect.mozilla.org/t5/ideas/support-windows-11-share-contract-so-thunderbird-appears-in-the/idi-p/129981,2026-06-23T14:59:33.971-07:00
5,2,190,2,new,View source of email by a right click option w/o opening the email.,https://connect.mozilla.org/t5/ideas/view-source-of-email-by-a-right-click-option-w-o-opening-the/idi-p/128135,2026-06-09T15:16:40.059-07:00
6,2,202,3,new,Thunderbird: Optimizing the Email Filter Function,https://connect.mozilla.org/t5/ideas/thunderbird-optimizing-the-email-filter-function/idi-p/128018,2026-06-08T19:08:28.819-07:00
7,1,113,2,new,pin a tab in thunderbird,https://connect.mozilla.org/t5/ideas/pin-a-tab-in-thunderbird/idi-p/130519,2026-06-29T22:40:18.682-07:00
8,1,95,3,new,"When clicking ""Mark as Read"" or ""Delete"" on the new email notification window, DON'T switch focus to Thunderbird",https://connect.mozilla.org/t5/ideas/when-clicking-quot-mark-as-read-quot-or-quot-delete-quot-on-the/idi-p/130514,2026-06-29T19:11:17.826-07:00
9,1,135,2,new,Make mailing lists in CardDAV address books,https://connect.mozilla.org/t5/ideas/make-mailing-lists-in-carddav-address-books/idi-p/130449,2026-06-29T02:01:45.926-07:00
10,1,160,2,new,Edit event title for ICS accepted events,https://connect.mozilla.org/t5/ideas/edit-event-title-for-ics-accepted-events/idi-p/130003,2026-06-24T02:08:32.340-07:00
11,1,148,2,new,Multiple Ways to Import Emails to Thunderbird,https://connect.mozilla.org/t5/ideas/multiple-ways-to-import-emails-to-thunderbird/idi-p/129765,2026-06-21T21:52:32.026-07:00
12,1,108,2,new,An Entry For the Right-Click Menu Over a Mailbox Folder,https://connect.mozilla.org/t5/ideas/an-entry-for-the-right-click-menu-over-a-mailbox-folder/idi-p/129597,2026-06-19T10:16:08.933-07:00
13,1,838,4,delivered,Thunderbox: Show subject of e-mail group with new e-mail underlined and bold,https://connect.mozilla.org/t5/ideas/thunderbox-show-subject-of-e-mail-group-with-new-e-mail/idi-p/129086,2026-06-16T03:07:47.398-07:00
14,1,213,4,new,"TB Should be auto-marking JUNK as ""READ"" so I don't constantly see the new mail indicator",https://connect.mozilla.org/t5/ideas/tb-should-be-auto-marking-junk-as-quot-read-quot-so-i-don-t/idi-p/128919,2026-06-14T09:27:00.553-07:00
15,1,151,2,new,Full support for RFC 2047 in subject headers,https://connect.mozilla.org/t5/ideas/full-support-for-rfc-2047-in-subject-headers/idi-p/128833,2026-06-13T02:32:28.344-07:00
16,1,202,4,new,Always load important mails,https://connect.mozilla.org/t5/ideas/always-load-important-mails/idi-p/128124,2026-06-09T12:23:38.829-07:00
17,1,168,2,new,option for Thunderbird not jumping to next message in message list after clicking “Download the rest of the message”,https://connect.mozilla.org/t5/ideas/option-for-thunderbird-not-jumping-to-next-message-in-message/idi-p/128065,2026-06-09T03:51:44.822-07:00
18,1,164,2,new,Saving attached files - A feature could be added so that the program remembers that attachments from a given recipient are saved in their own folder,https://connect.mozilla.org/t5/ideas/saving-attached-files-a-feature-could-be-added-so-that-the/idi-p/128031,2026-06-08T22:31:41.550-07:00
19,1,264,4,new,Thunderbird: Show archived mails on a map,https://connect.mozilla.org/t5/ideas/thunderbird-show-archived-mails-on-a-map/idi-p/127801,2026-06-07T02:50:16.193-07:00
20,1,149,2,new,Remove the useless empty top bar in Thunderbird,https://connect.mozilla.org/t5/ideas/remove-the-useless-empty-top-bar-in-thunderbird/idi-p/127754,2026-06-06T08:29:10.356-07:00
21,1,155,2,new,Tasks for Today in Today Pane,https://connect.mozilla.org/t5/ideas/tasks-for-today-in-today-pane/idi-p/127751,2026-06-06T08:00:06.313-07:00
22,1,140,2,new,Change Account Page In Thunderbird to Similar to MS Outlook Today,https://connect.mozilla.org/t5/ideas/change-account-page-in-thunderbird-to-similar-to-ms-outlook/idi-p/127689,2026-06-05T09:30:36.987-07:00
23,1,128,2,new,Put Back Status when Checking Mail,https://connect.mozilla.org/t5/ideas/put-back-status-when-checking-mail/idi-p/127684,2026-06-05T08:16:43.344-07:00
24,1,113,2,new,New emails in collapsed threads easy to miss - Please make it underlined and bold if new message appears inside a collapsed thread,https://connect.mozilla.org/t5/ideas/new-emails-in-collapsed-threads-easy-to-miss-please-make-it/idi-p/127659,2026-06-05T01:07:28.610-07:00
25,1,129,2,new,Shift + del button in Thunderbird,https://connect.mozilla.org/t5/ideas/shift-del-button-in-thunderbird/idi-p/127622,2026-06-04T11:29:58.605-07:00
